"","cpdp","xswcpdp","xcwcpdp","xcwccpdp","xswccpdp","pdp","ale","grid","NA"
"1",0.943525543685233,0.943639716549723,0.958479655878235,0.943523029587201,0.958475420998906,0.965718528128534,0.972180604153323,-0.999133840203285,0
"2",0.847807723705965,0.84791537339957,0.866296940756489,0.847807995020412,0.866296579581458,0.870000708149267,0.876391251884094,-0.962953110970557,0
"3",0.760993808434204,0.76109552168497,0.783184687843683,0.760994137406921,0.783185102755215,0.783186792877504,0.78982409487014,-0.929681871756911,0
"4",0.66058333835382,0.660678150309424,0.682828545041994,0.660592545619746,0.682829036377343,0.682776322797121,0.687601854683449,-0.89048547854647,0
"5",0.555730882972535,0.555818433941963,0.589557290859603,0.555732959327126,0.58955884226174,0.577923867415833,0.581186859072275,-0.848502157889306,0
"6",0.472006255860092,0.472087957285711,0.49921312387925,0.472007530120215,0.499212029887076,0.494199240303391,0.496872538225547,-0.814005983294919,0
"7",0.379499556826572,0.379574727679242,0.421955774920472,0.379499297394627,0.421955694639673,0.401692541269871,0.402565677272606,-0.774645029269159,0
"8",0.285083650017269,0.285152064566836,0.303462494481111,0.285082724498809,0.303462020938093,0.307276634460569,0.305689370353047,-0.732810370037332,0
"9",0.215025268982952,0.215088597557297,0.237132673781326,0.215028695493005,0.237128449372166,0.237218253426254,0.235552317157982,-0.700442983843386,0
"10",0.135588542027979,0.135646013503678,0.152709339507827,0.135601380503837,0.152715382352194,0.157781526471279,0.154812285938565,-0.662077016104013,0
"11",0.0683973415669135,0.0684497707716215,0.0866028105834164,0.0683947880622382,0.0866009610653648,0.0905903260102139,0.0866036745559141,-0.627958926092833,0
"12",-0.0106351301643452,-0.0105887535882067,0.00720699703898859,-0.0106305601342025,0.00720544253844393,0.0115578542789552,0.00629124511201962,-0.585416630897671,0
"13",-0.0785902700955064,-0.0785492203889303,-0.0694888811831127,-0.0785912041312191,-0.0694874096622229,-0.0563972856522062,-0.0618899125410597,-0.546243386883289,0
"14",-0.156312875528475,-0.156278081305985,-0.144508202491799,-0.156312528195657,-0.14450807780277,-0.134119891085175,-0.140537901695739,-0.49763584333472,0
"15",-0.218614849595415,-0.218585215804529,-0.217085637152963,-0.218616774397718,-0.217089413307917,-0.196421865152116,-0.20362160398094,-0.454818404167891,0
"16",-0.27266900254402,-0.27264396855247,-0.270904798045569,-0.272669123790945,-0.270905248866706,-0.25047601810072,-0.256956179746621,-0.413928407477215,0
"17",-0.325580629329928,-0.325560226347627,-0.316877285517188,-0.325582977712457,-0.316876020786882,-0.303387644886627,-0.310218485308928,-0.36929481074214,0
"18",-0.368042784071636,-0.368026205989112,-0.359131722252215,-0.368043165173396,-0.35913196923049,-0.345849799628337,-0.353116789180943,-0.328850879054516,0
"19",-0.399450122477229,-0.399436448071431,-0.392324953938001,-0.399452037967613,-0.392328412296063,-0.377257138033928,-0.384529855105111,-0.295164198391139,0
"20",-0.434746785576518,-0.434736468749764,-0.427806289261965,-0.434748454973804,-0.427809747448929,-0.412553801133218,-0.420588985720276,-0.251627892078832,0
