"","cpdp","xsxcpdp","cxsxcpdp","pdp","ale","grid","NA"
"1",-0.992622061634543,-0.992627720869971,-0.990062271078292,-0.961074216833874,-0.993046705083513,-0.999522206839174,0
"2",-0.955389332633437,-0.955393886209905,-0.962479939566734,-0.923841487832767,-0.95571279945657,-0.959082946917042,0
"3",-0.922667194984754,-0.92266972511941,-0.922654770449013,-0.891119350184079,-0.922714788388522,-0.923842648845166,0
"4",-0.882547009324802,-0.882547839281099,-0.883976086436036,-0.850999164524133,-0.882527516177251,-0.880995602970943,0
"5",-0.840646524200274,-0.840683514393416,-0.8392279871536,-0.809098679399604,-0.840999442365967,-0.836645287163556,0
"6",-0.804022864834393,-0.804023413269311,-0.798237952340299,-0.772475020033723,-0.804229526028143,-0.798191840294749,0
"7",-0.767734581907032,-0.767736656704729,-0.768715022221252,-0.736186737106363,-0.768305336888201,-0.760358765423298,0
"8",-0.73327385619013,-0.73327393381368,-0.732818439435747,-0.701726011389459,-0.733729686695392,-0.724663019552827,0
"9",-0.702714633901091,-0.702716619015887,-0.702185464799283,-0.671166789100421,-0.702978083492569,-0.693186371773481,0
"10",-0.664205897249697,-0.664205783974507,-0.661747854015141,-0.632658052449027,-0.664564806715864,-0.653744608489797,0
"11",-0.62618672779801,-0.626186661470077,-0.624673322615967,-0.594638882997339,-0.626713511934321,-0.615031952876598,0
"12",-0.581340089568018,-0.581341217069093,-0.58148932969775,-0.549792244767347,-0.581889198283053,-0.56963524681516,0
"13",-0.531020895009947,-0.531028022886895,-0.529945690017199,-0.499473050209276,-0.531284255224882,-0.519012950137258,0
"14",-0.486548067277213,-0.486548131259122,-0.486608452050538,-0.455000222476543,-0.487117380058137,-0.474520914591849,0
"15",-0.448950686087938,-0.448949744983498,-0.449847009874835,-0.417402841287268,-0.449471135298888,-0.43707059495151,0
"16",-0.411869170154468,-0.411868807022294,-0.410050937817055,-0.380321325353799,-0.412418608985199,-0.400265964400023,0
"17",-0.371345614770843,-0.371345052349801,-0.369908669475728,-0.339797769970173,-0.371769691020243,-0.36017893621698,0
"18",-0.330818988247035,-0.330818650625877,-0.333000664625777,-0.299271143446365,-0.331239548273764,-0.320212203068659,0
"19",-0.284766603712556,-0.28476637034455,-0.286991546388155,-0.253218758911887,-0.285071618068109,-0.274924537036568,0
"20",-0.237463696300569,-0.237463813141334,-0.236088357324631,-0.205915851499899,-0.237582388505932,-0.228525083474815,0
"21",-0.200434737926706,-0.200413010885648,-0.203779810640827,-0.168886893126036,-0.200477293216356,-0.192270259745419,0
"22",-0.154204201175135,-0.154198801614536,-0.154593121656919,-0.122656356374465,-0.154569081161191,-0.147068557664752,0
"23",-0.112200985368457,-0.112201621389298,-0.110597850950825,-0.0806531405677867,-0.112528118627492,-0.106041676532477,0
"24",-0.0719848564058829,-0.0719599730218347,-0.0720986499419858,-0.0404370116052125,-0.0722571594123204,-0.0667806700803339,0
"25",-0.03165211134883,-0.0316605633156208,-0.0303544761877741,-0.000104266548159527,-0.0318734279947992,-0.0274101257883012,0
"26",0.00664217038463691,0.00664069621896151,0.00583722470614958,0.0381900151853075,0.00654907531447535,0.0099806587677449,0
"27",0.0491996648441749,0.0492012238515508,0.0504224250575962,0.0807475096448455,0.0491156997642803,0.0515620020404458,0
"28",0.0876666352481763,0.0876752657183726,0.0887752146268311,0.119214480048847,0.0875915025651124,0.0891866481024772,0
"29",0.129034062499693,0.129040864406207,0.128755913291227,0.160581907300363,0.12901289045721,0.129706710241735,0
"30",0.163650458397652,0.163648707714428,0.163603103757673,0.195198303198323,0.163650489535012,0.163672681841999,0
"31",0.214096383549731,0.214094499849342,0.212262896370061,0.245644228350402,0.213884492966245,0.213288474734873,0
"32",0.259105836048978,0.259104591683751,0.259430809407363,0.290653680849648,0.258812671717426,0.257698160130531,0
"33",0.300077550478572,0.300072833209844,0.298908226009222,0.331625395279243,0.299511189883991,0.298259604200721,0
"34",0.343260500208264,0.34328260851229,0.343600967153107,0.374808345008934,0.342694074684345,0.34117023027502,0
"35",0.3796771928311,0.379658910632024,0.380586336814006,0.41122503763177,0.379184754740249,0.377500276435167,0
"36",0.422164541852034,0.422165130141773,0.424272342289736,0.453712386652705,0.42182641782859,0.420070292847231,0
"37",0.458289726260392,0.458293188272244,0.457094013354392,0.489837571061062,0.458062131607967,0.456436473000794,0
"38",0.495877313004782,0.495878538370964,0.496915737158287,0.527425157805451,0.495521970366682,0.494456591065973,0
"39",0.533688160135698,0.533688017227936,0.532938275074567,0.565236004936367,0.533427679382888,0.532905070427805,0
"40",0.573116598399106,0.573117101550675,0.572962984106422,0.604664443199777,0.572703040536378,0.573232341678813,0
"41",0.610746773294297,0.610750956427478,0.613214701901176,0.642294618094968,0.610360824534012,0.61196038518101,0
"42",0.645749857384235,0.645752048527409,0.646526150257075,0.677297702184907,0.645499172659312,0.648210457758978,0
"43",0.679284191009856,0.679281919554583,0.680204856346342,0.710832035810526,0.679036453432068,0.683157139997929,0
"44",0.723220028477684,0.72322293389198,0.722808072499982,0.754767873278353,0.72324468850892,0.729287930708379,0
"45",0.765557885996047,0.765557354496019,0.769385050842761,0.797105730796719,0.765895657434913,0.774137037210166,0
"46",0.80218340048294,0.802185691254185,0.797004288192147,0.833731245283611,0.802746884032983,0.813271030131728,0
"47",0.835558534395268,0.835560693961437,0.834248849000845,0.86710637919594,0.836019289958964,0.849220823012292,0
"48",0.864267942876485,0.864270246007414,0.862550566082913,0.895815787677155,0.864562694051809,0.880377424713224,0
"49",0.89686009086856,0.896874683979151,0.898539375134921,0.928407935669232,0.897087944212654,0.916021902188659,0
"50",0.935396215112234,0.935408644410261,0.937755304798895,0.966944059912903,0.936051165709302,0.958563722977415,0
"51",0.972239673971167,0.972268014845235,0.977290260474493,1.00378751877183,0.972989797858268,0.999662487301975,0
"52",-1.00465141579839,-1.00466087171688,-1.00123684958486,-0.98718597534615,-1.00525096762532,-0.999880497343838,0
"53",-0.960136334411505,-0.960137970043645,-0.959524518235433,-0.942670893959267,-0.960710661561997,-0.955597428577021,0
"54",-0.92507927812736,-0.925080787816255,-0.925084382232875,-0.907613837675121,-0.925663843705248,-0.920734587907791,0
"55",-0.887527632049193,-0.887529508144244,-0.887270952095333,-0.870062191596954,-0.888279740643345,-0.883400584468618,0
"56",-0.841639673082269,-0.84164025548831,-0.843138664449538,-0.824174232630028,-0.842212748262777,-0.837789843678474,0
"57",-0.80471217447076,-0.80471366449439,-0.806414322399995,-0.78724673401852,-0.805230656808953,-0.801092604454607,0
"58",-0.762253208537014,-0.762246275319579,-0.763352052786689,-0.744787768084775,-0.762624149823002,-0.758904077410698,0
"59",-0.728244892552859,-0.728246048501797,-0.728253944627404,-0.710779452100619,-0.728562098185907,-0.725115067148581,0
"60",-0.684367203924584,-0.684368053355499,-0.682090313803253,-0.666901763472345,-0.684704644161632,-0.681521286386996,0
